Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	11566	66.9281	0.215646	1.28323	0.159261	1.8908
48	9719	71.0583	0.212169	2.11762	0.24006	1.26803
51	11314	37.029	1.05203	3.40875	0.724885	1.03666
52	12750	77.6959	0.0606141	1.2079	0.0655493	1.35257
55	11516	66.9659	0.14133	0.980486	0.0817403	1.75445
110	11339	76.4947	0.106458	0.994665	0.07962	0.247523
112	11489	76.2065	0.110897	1.38491	0.142981	1.24781
115	13840	64.9929	0.121209	1.03121	0.0710051	0.282466
117	11085	70.6028	0.338673	1.15823	0.212274	0.789501
119	12187	66.3963	0.0740805	1.06285	0.0551709	2.14686
122	11847	61.2181	0.249727	1.62181	0.167768	0.762495
