Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	12821	67.9247	0.218105	1.36711	0.114625	1.69562
48	10711	66.9671	0.504564	1.8753	0.295552	1.27835
51	12043	33.2878	0.712445	5.53358	1.26454	0.923903
52	14439	72.8655	0.330372	2.2551	0.180067	1.98369
55	12008	56.6876	0.574706	3.7699	0.842119	0.862232
110	11671	69.7052	0.273173	1.41998	0.192164	1.68906
112	12644	77.5118	0.195849	1.08727	0.152716	3.60356
115	15372	50.9631	0.187247	7.24928	0.275954	2.02122
117	11298	67.5624	0.285389	1.38208	0.184755	1.41456
119	11787	57.262	0.126574	3.63549	0.0733174	3.99182
122	11826	55.1968	0.739343	3.03622	0.507515	1.01758
