Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	14053	60.9585	0.45708	1.91638	0.325921	1.54613
48	13406	64.8293	0.293118	1.76671	0.2084	0.764635
52	14846	76.2794	0.0754585	1.56456	0.090776	0.697048
55	14136	65.0958	0.100604	1.24345	0.0934166	0.745374
110	14054	72.4896	0.10462	1.82924	0.105146	0.915848
112	14059	71.6032	0.325078	2.19208	0.248206	1.20972
115	15628	60.3365	0.0961432	1.42493	0.0764049	1.78627
117	13865	62.9251	0.9777	2.05027	0.549107	0.721624
119	14498	64.9917	0.118682	1.34138	0.101968	1.83535
122	14170	49.4079	1.19409	3.68908	1.14878	0.473415
