Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	53524	60.2479	0.178521	1.99894	0.11322	1.03806
48	50493	66.0946	0.204667	2.74812	0.19865	0.972007
52	56552	76.4218	0.0631439	1.54998	0.0515016	0.659047
55	53433	65.0355	0.0610085	1.3457	0.0601915	0.37909
110	52652	72.5926	0.068316	1.8074	0.0769434	1.00199
112	52348	71.0798	0.153959	2.07565	0.223289	1.40768
115	58620	60.4378	0.0832836	1.4849	0.0464983	1.16983
117	51650	63.0295	0.278038	1.95087	0.178737	0.908495
119	54146	64.9499	0.0374085	1.37917	0.0349985	0.943357
122	53064	46.4372	1.08643	7.28175	1.5023	0.788549
