Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	15051	67.3714	0.233672	1.05138	0.108566	2.14049
48	12550	70.634	0.18186	2.19881	0.16809	0.962376
51	14588	37.9901	1.45839	3.5211	2.03471	1.87321
52	16612	77.9783	0.0734576	1.09165	0.0525269	1.68784
55	14881	66.686	0.231336	1.06688	0.184717	0.887192
110	14627	76.1831	0.128879	1.24271	0.103365	1.51136
112	14611	76.3709	0.0858113	1.2247	0.0897865	0.451768
115	17934	64.6711	0.110797	1.17563	0.0620076	1.59841
117	14470	70.2808	0.161964	1.35132	0.114057	1.10129
119	15468	66.4245	0.0639836	1.14472	0.0544605	1.12975
122	15190	59.8684	0.49025	2.58139	0.439315	1.30955
