Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	22597	66.1241	0.116857	1.54203	0.084076	0.91777
48	20510	71.0729	0.142022	1.5083	0.110493	1.03549
51	19949	36.085	0.847477	5.62302	2.08248	1.81765
52	25809	76.7173	0.0380237	1.31751	0.0315442	1.61406
55	22668	66.2379	0.0755093	1.11135	0.0565022	2.42323
110	22805	75.4453	0.0806024	1.30805	0.0777233	1.68443
112	21956	75.3808	0.0875499	1.37208	0.302875	1.00876
115	28210	63.7125	0.0833743	1.29365	0.0554998	2.46449
117	21447	69.4863	0.257362	1.54194	0.133252	1.26421
119	24376	65.4554	0.0335036	1.11318	0.0301306	2.03172
122	23699	60.852	0.156725	1.84297	0.0874823	1.15655
