Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	52170	39.2043	0.666603	2.80863	0.66432	1.25081
48	49685	41.9111	1.17499	4.20788	1.4116	0.508719
52	54094	67.0174	0.0761638	1.79365	0.0639413	1.61626
55	51899	51.0891	0.102174	1.59679	0.126625	1.04892
110	51810	54.2207	0.113077	1.7908	0.109418	1.44049
112	51213	56.6832	0.284609	2.97171	0.223729	6.44889
115	55644	38.83	0.133101	1.84197	0.0949793	0.669748
117	50603	36.2585	0.828284	2.86227	0.657014	0.991379
119	52515	55.8221	0.0571222	1.34791	0.057112	1.57208
