Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	14615	67.0349	0.174897	1.20786	0.0870435	2.32021
48	12245	71.1374	0.218794	1.83819	0.133346	0.780893
51	14098	37.3196	1.2104	3.43181	0.988197	0.921378
52	16397	78.0376	0.077929	1.10494	0.0550023	1.03406
55	14645	66.7712	0.131503	0.951668	0.0737631	1.36819
110	14402	76.2825	0.160357	1.0951	0.0869079	0.437817
112	14332	76.6216	0.0872271	1.57323	0.215248	1.75633
115	17781	64.8785	0.0991271	1.15674	0.0656416	1.42835
117	13854	70.1841	0.209375	1.51582	0.136311	0.878583
119	15263	66.5961	0.115572	1.15799	0.09556	4.95356
122	14980	60.9872	0.206515	1.61061	0.141906	1.52091
