Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	13943	67.2535	0.188639	1.21184	0.106977	1.49496
48	11956	71.1115	0.23325	1.75401	0.196755	1.34051
51	13241	38.9549	0.920153	2.36648	0.803549	0.767168
52	15726	78.1648	0.089519	1.12512	0.0605883	0.862421
55	14015	66.5942	0.216304	1.23613	0.125045	1.30146
110	13530	76.347	0.140668	1.10716	0.0930536	0.829011
112	13624	77.1146	0.110373	1.29788	0.11311	1.8348
115	16868	64.9612	0.118633	1.2404	0.0793337	0.768446
117	13198	70.5844	0.199635	1.11236	0.107119	1.76196
119	14305	67.1025	0.0827933	1.04516	0.0534701	2.2577
122	14036	60.841	0.166795	1.45066	0.102231	0.790373
