Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	14050	67.7867	0.117345	0.91136	0.0557123	2.54734
48	11604	71.558	0.313526	1.6539	0.249672	0.491413
51	13163	35.5882	1.29328	4.78665	1.70329	0.670626
52	15761	78.4741	0.125324	1.11121	0.0783867	1.29638
55	14048	65.8268	0.24405	1.481	0.149109	0.732265
110	13288	75.7111	0.124538	1.51036	0.105866	1.39193
112	13623	78.0683	0.0803822	1.02266	0.0798926	1.41174
115	16784	65.4285	0.154873	1.1761	0.0807159	0.868425
117	12894	70.7981	0.189311	1.18151	0.14125	0.8798
119	13981	67.4463	0.146748	1.08885	0.0767738	2.75792
122	13687	60.2698	0.333301	1.52163	0.152786	2.26341
