Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	65848	66.381	0.122593	1.70793	0.0992939	0.73116
48	58726	71.6741	0.17668	1.66051	0.121655	0.60789
51	64560	35.705	0.883993	4.98153	0.962693	0.703713
52	70679	77.4313	0.0454398	1.25952	0.0444722	1.60588
55	66070	66.842	0.0657413	1.27333	0.0585747	1.21416
110	64799	75.9543	0.0612638	1.44334	0.0595027	0.827658
112	64892	75.7059	0.0613052	1.76074	0.0835638	0.748346
115	72537	64.6137	0.0723759	1.23543	0.0435248	2.75976
117	64423	70.3722	0.197968	1.39097	0.113765	1.46591
119	66881	66.0459	0.0560121	1.12263	0.0424915	3.29524
122	65959	61.5472	0.165436	1.83651	0.0949891	1.26164
