Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	15783	67.0293	0.160174	1.26636	0.102387	1.58647
48	13145	71.3116	0.176596	1.49755	0.125619	0.706627
51	15655	37.4799	1.04848	3.23057	0.908806	0.981329
52	17362	77.5953	0.0551113	1.28981	0.0619239	1.99649
55	15618	66.5472	0.0961627	1.28151	0.104428	1.47381
110	15485	76.0167	0.123854	1.33794	0.0972057	0.731823
112	15649	76.178	0.0804219	1.22185	0.0793446	2.16857
115	18986	64.588	0.0852097	1.19312	0.0541522	0.754101
117	15416	70.5059	0.220625	1.22965	0.125824	1.14371
119	16378	66.2674	0.0493622	1.1261	0.0411668	2.81198
122	16324	61.4241	0.23618	1.5888	0.13672	1.07561
