Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	19344	61.4199	0.432022	1.53338	0.220406	0.769739
48	18374	65.2967	0.861461	2.56676	0.718348	0.846522
52	20625	76.241	0.10498	1.58481	0.0838572	1.44465
55	19482	64.8755	0.0988258	1.24733	0.105381	2.05903
110	19376	72.7912	0.122068	1.48366	0.110266	1.78734
112	19228	71.2756	0.177689	2.57312	0.267053	0.963885
115	21366	60.2113	0.10228	1.542	0.0715533	2.26044
117	19014	63.0719	0.279871	1.92223	0.246309	1.03264
119	19669	64.8889	0.0609162	1.33946	0.056228	0.259878
122	19505	48.9837	0.893781	3.67065	1.02595	1.37586
