Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	114934	37.9069	0.387939	3.46243	0.285686	1.71422
48	109178	40.468	0.939668	3.63582	0.895221	0.992468
51	107055	55.8239	0.884754	0.331462	1.41507	0
52	119925	66.4687	0.0694023	1.7159	0.0630411	1.32683
55	114205	49.4755	0.0706196	1.68442	0.0698715	0.900289
110	115039	51.4673	0.0717167	1.58528	0.0629605	1.7331
112	113540	55.9294	0.180079	3.05888	0.248421	0.975098
115	122947	36.0155	0.0662011	1.58792	0.0454671	0.477927
117	112081	35.0311	0.349897	2.29141	0.23976	0.583804
119	116407	54.9074	0.0382102	1.40452	0.0353619	2.82466
122	113545	44.7608	0.442184	0.870285	0.353649	2.21131
