Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	16914	67.0281	0.140931	1.31071	0.0845358	1.52079
48	14336	71.0024	0.153519	1.92508	0.124805	1.00299
51	17064	39.9575	0.530066	1.88949	0.360004	0.989473
52	18680	77.6665	0.0765008	1.08113	0.0618069	0.0448804
55	16766	66.7198	0.084513	1.21274	0.0587663	2.44544
110	16918	75.8683	0.0749432	1.45378	0.0722916	1.96805
112	16922	76.1356	0.104154	1.329	0.265629	0.922669
115	20243	64.5128	0.0894811	1.23492	0.0518672	1.50134
117	16681	70.7343	0.196597	1.17536	0.120678	0.974555
119	17888	66.156	0.049134	1.08312	0.0363019	1.48791
122	17424	60.6322	0.584886	2.18036	0.409898	1.00935
