Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	3037	65.039	0.331412	1.82578	0.230497	4.11854
48	1797	55.3457	2.79374	2.3225	3.65368	0
51	3176	38.0728	3.45915	4.37621	0.928105	0.252497
52	2980	67.5243	2.47583	5.63405	4.02959	0.783523
55	2342	55.3457	2.79374	2.3225	3.65368	0
102	2410	50.5	0	2	0	0
103	2460	8.34569	2.79374	2.3225	3.65368	0
110	2134	48.3457	2.79374	2.3225	3.65368	0
112	2428	73.0204	0.845512	0.906932	0.807381	0.226809
115	2403	53.3457	2.79374	2.3225	3.65368	0
117	2365	52.3457	2.79374	2.3225	3.65368	0
119	2277	49.486	1.19418	0.991884	0.688508	0.687797
122	2261	50.5	0	2	0	0
