Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	24822	32.6616	0	6.74163	0	1.35811
48	23460	41.7	0.762834	2.43014	1.00426	1.57482
52	25844	66.3844	0.124126	2.15158	0.122355	0.550383
55	24771	49.5071	0.165851	1.74737	0.162744	0.91367
110	24416	51.8648	0.402458	1.43156	0.275264	1.29392
112	24160	55.5847	0.530753	2.89386	0.476364	2.17661
115	26158	36.683	0.167233	1.35589	0.123913	0.666011
119	24596	55.218	0.125173	1.2472	0.114092	0.904676
