Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	5978	34.1658	1.42525	3.59922	0.893601	1.17347
48	5699	43.7152	0.616688	2.3467	0.603273	0.985554
52	7011	64.929	0.0976244	1.70054	0.0785483	0.260095
55	6196	46.8103	0.110312	1.4855	0.0952485	2.84801
110	6340	48.4616	0.107535	1.39302	0.130718	1.78147
112	6113	51.6535	0.472993	3.36071	0.896598	1.02337
115	7823	33.5263	0.133216	1.07023	0.0733196	1.25783
117	5852	31.434	0.404265	1.88107	0.381913	1.63901
119	6828	53.3408	0.0795587	1.31198	0.0774643	0.609603
