Pad	Entries	Mu	MuErr	Sigma	SigmaErr	Chi2/NDF
46	30375	67.1225	0.112029	1.28271	0.0693466	1.38904
48	25668	71.1704	0.136911	2.02673	0.14391	0.859259
51	30288	37.9074	0.695191	3.19308	0.502417	1.21243
52	33577	77.5844	0.0459369	1.2056	0.0445356	0.453856
55	30380	66.8161	0.0695075	1.24804	0.0561162	1.06279
110	30684	76.1136	0.124732	1.2777	0.0961784	2.64605
112	30733	76.1195	0.0783829	1.16586	0.122132	0.78781
115	36587	64.8541	0.0716286	1.15013	0.0467491	0.845147
117	30117	70.4918	0.145401	1.53691	0.111021	0.360421
119	32634	66.1944	0.0549973	1.20016	0.0875716	3.01108
122	31708	61.404	0.163184	1.94122	0.101012	1.47899
